stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34647e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34649e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34653e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34651e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34648e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34653e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34652e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34649e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34651e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08663e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34654e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08663e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34651e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08663e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34644e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34642e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34645e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34648e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34652e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34647e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34649e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34653e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34651e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34648e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34653e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34652e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34652e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08663e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34654e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08663e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34651e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08663e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34644e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34642e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34645e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34648e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34652e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34647e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34649e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34653e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34651e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34648e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34653e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34652e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34652e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08663e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34654e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08663e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34651e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08663e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34644e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34642e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34645e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34648e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34652e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34647e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34649e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34653e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34651e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34648e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34653e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34652e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34652e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08663e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34654e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08663e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34651e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08663e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34644e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34642e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34645e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34648e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34652e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34647e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34649e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34653e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34651e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34648e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34653e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34652e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34652e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08663e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34654e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08663e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34651e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08663e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34644e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34642e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34645e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34648e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34652e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34647e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34649e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34653e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34651e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34648e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34653e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34652e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34652e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08663e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34654e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08663e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34651e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08663e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34644e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34642e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34645e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34648e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34652e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34647e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34649e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34653e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34651e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34648e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34653e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34652e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34652e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08663e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34654e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08663e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34651e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08663e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34644e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34642e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34645e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34648e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34652e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34647e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34649e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34653e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34651e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34648e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34653e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.34652e-16,2.92765e-07,4.03906e-05
0,0,-1.5708,0,0,0,-1.56531,-2.08662e-17,-1.17106e-08,-1.61563e-06,-0.658808,8.3465e-16,2.92765e-07,4.03906e-05
