stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
28,30,-1.22173,1.22173,0.261799,0.261799,-1.21359,1.19756,0.210754,0.197625,-0.813692,0.676759,0.765684,0.962618
28,30,-1.22173,1.22173,0.261799,0.261799,-1.21359,1.19756,0.210754,0.197625,-0.813692,0.676759,0.765684,0.962618
28,30,-1.22173,1.22173,0.261799,0.261799,-1.21359,1.19756,0.210754,0.197625,-0.813692,0.676759,0.765684,0.962618
28,30,-1.22173,1.22173,0.261799,0.261799,-1.21359,1.19756,0.210754,0.197625,-0.813692,0.676759,0.765684,0.962618
28,30,-1.22173,1.22173,0.261799,0.261799,-1.21359,1.19756,0.210754,0.197625,-0.813692,0.676759,0.765684,0.962618
28,30,-1.22173,1.22173,0.261799,0.261799,-1.21359,1.19756,0.210754,0.197625,-0.813692,0.676759,0.765684,0.962618
28,30,-1.22173,1.22173,0.261799,0.261799,-1.21359,1.19756,0.210754,0.197625,-0.813692,0.676759,0.765684,0.962618
28,30,-1.22173,1.22173,0.261799,0.261799,-1.21359,1.19756,0.210754,0.197625,-0.813692,0.676759,0.765684,0.962618
28,30,-1.22173,1.22173,0.261799,0.261799,-1.21359,1.19756,0.210754,0.197625,-0.813692,0.676759,0.765684,0.962618
28,30,-1.22173,1.22173,0.261799,0.261799,-1.21359,1.19756,0.210754,0.197625,-0.813692,0.676759,0.765684,0.962618
28,30,-1.22173,1.22173,0.261799,0.261799,-1.21359,1.19756,0.210754,0.197625,-0.813692,0.676759,0.765684,0.962618
28,30,-1.22173,1.22173,0.261799,0.261799,-1.21359,1.19756,0.210754,0.197625,-0.813692,0.676759,0.765684,0.962618
28,30,-1.22173,1.22173,0.261799,0.261799,-1.21359,1.19756,0.210754,0.197625,-0.813692,0.676759,0.765684,0.962618
28,30,-1.22173,1.22173,0.261799,0.261799,-1.21359,1.19756,0.210754,0.197625,-0.813692,0.676759,0.765684,0.962618
28,30,-1.22173,1.22173,0.261799,0.261799,-1.21359,1.19756,0.210754,0.197625,-0.813692,0.676759,0.765684,0.962618
28,30,-1.22173,1.22173,0.261799,0.261799,-1.21359,1.19756,0.210754,0.197625,-0.813692,0.676759,0.765684,0.962618
28,30,-1.22173,1.22173,0.261799,0.261799,-1.21359,1.19756,0.210754,0.197625,-0.813692,0.676759,0.765684,0.962618
