stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168489,-0.155793,-0.7629,0.352554,-0.0906546,-0.281098
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168489,-0.155793,-0.7629,0.352554,-0.0906546,-0.281098
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168489,-0.155793,-0.7629,0.352554,-0.0906546,-0.281098
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168489,-0.155793,-0.7629,0.352554,-0.0906546,-0.281098
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168489,-0.155793,-0.7629,0.352554,-0.0906546,-0.281098
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168489,-0.155793,-0.7629,0.352554,-0.0906546,-0.281098
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168489,-0.155793,-0.7629,0.352554,-0.0906546,-0.281098
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168489,-0.155793,-0.7629,0.352554,-0.0906546,-0.281098
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168489,-0.155793,-0.7629,0.352554,-0.0906546,-0.281098
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168489,-0.155793,-0.7629,0.352554,-0.0906546,-0.281098
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168489,-0.155793,-0.7629,0.352554,-0.0906546,-0.281098
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168489,-0.155793,-0.7629,0.352554,-0.0906546,-0.281098
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168489,-0.155793,-0.7629,0.352554,-0.0906546,-0.281098
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168489,-0.155793,-0.7629,0.352554,-0.0906546,-0.281098
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168489,-0.155793,-0.7629,0.352554,-0.0906546,-0.281098
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168489,-0.155793,-0.7629,0.352554,-0.0906546,-0.281098
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168489,-0.155793,-0.7629,0.352554,-0.0906546,-0.281098
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168489,-0.155793,-0.7629,0.352554,-0.0906546,-0.281098
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168489,-0.155793,-0.7629,0.352554,-0.0906546,-0.281098
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
22,45,-1.0472,0.698132,-0.174533,-0.174533,-1.03957,0.68554,-0.168487,-0.155733,-0.7629,0.352554,-0.0906892,-0.281997
